subject,path,label
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff001.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff001_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff002.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff002_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff003.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff003_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff004.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff004_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff005.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff005_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff006.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff006_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff007.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff007_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff008.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff008_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff009.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff009_facs.txt
042-ll042,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Preprocessed\042-ll042\ll042t1aaaff\ll042t1aaaff010.png,D:\Library\Documents\UM Lecture Notes & Tutorial\FYP\Dataset\UNBC-McMaster Shoulder Pain Data\Frame_Labels\PSPI\042-ll042\ll042t1aaaff\ll042t1aaaff010_facs.txt
